"No.","Time","Source","Destination","Protocol","Length","Info"
"4669","-244.320496","192.168.43.6","223.196.57.16","TCP","74","53428  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4113926811 TSecr=0 WS=128"
"4670","245.270606","223.196.57.16","192.168.43.6","TCP","74","443  >  53428 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=1069532207 TSecr=4113926811 WS=256"
"4671","245.271583","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4113926970 TSecr=1069532207"
"4672","245.274003","192.168.43.6","223.196.57.16","TLSv1.3","583","Client Hello"
"4673","246.030004","223.196.57.16","192.168.43.6","TCP","66","443  >  53428 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=1069532327 TSecr=4113926971"
"4674","246.915716","223.196.57.16","192.168.43.6","TLSv1.3","5018","Server Hello, Change Cipher Spec, Application Data"
"4675","246.036427","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=518 Ack=4953 Win=59392 Len=0 TSval=4113927176 TSecr=1069532328"
"4676","246.979865","192.168.43.6","223.196.57.16","TLSv1.3","72","Change Cipher Spec"
"4677","246.981434","192.168.43.6","223.196.57.16","TLSv1.3","140","Application Data"
"4678","246.983861","192.168.43.6","223.196.57.16","TLSv1.3","1447","Application Data"
"4679","246.238354","223.196.57.16","192.168.43.6","TLSv1.3","974","[TCP Spurious Retransmission] , Continuation Data"
"4680","246.240105","223.196.57.16","192.168.43.6","TCP","66","443  >  53428 [ACK] Seq=4953 Ack=524 Win=66816 Len=0 TSval=1069532605 TSecr=4113927176"
"4681","-245.278647","223.196.57.16","192.168.43.6","TCP","66","443  >  53428 [ACK] Seq=4953 Ack=598 Win=66816 Len=0 TSval=1069532607 TSecr=4113927177"
"4682","246.240246","223.196.57.16","192.168.43.6","TCP","78","[TCP Window Update] 443  >  53428 [ACK] Seq=4953 Ack=598 Win=67840 Len=0 TSval=1069532610 TSecr=4113927177 SLE=1946 SRE=1979"
"4683","246.240324","223.196.57.16","192.168.43.6","TCP","66","443  >  53428 [ACK] Seq=4953 Ack=1979 Win=70656 Len=0 TSval=1069532610 TSecr=4113927178"
"4684","-245.276602","223.196.57.16","192.168.43.6","TLSv1.3","1414","Application Data"
"4685","-245.252481","223.196.57.16","192.168.43.6","TCP","2762","[TCP Previous segment not captured] 443  >  53428 [ACK] Seq=8997 Ack=1979 Win=70656 Len=2696 TSval=1069532611 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4686","-245.211564","192.168.43.6","223.196.57.16","TCP","78","[TCP Dup ACK 4675#1] 53428  >  443 [ACK] Seq=1979 Ack=4953 Win=64128 Len=0 TSval=4113927384 TSecr=1069532562 SLE=4045 SRE=4953"
"4687","-245.208266","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=6301 Win=63104 Len=0 TSval=4113927384 TSecr=1069532611"
"4688","-245.207038","192.168.43.6","223.196.57.16","TCP","78","[TCP Dup ACK 4687#1] 53428  >  443 [ACK] Seq=1979 Ack=6301 Win=63104 Len=0 TSval=4113927384 TSecr=1069532611 SLE=8997 SRE=11693"
