"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.6","142.250.182.206","TCP","74","50580  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2646001219 TSecr=0 WS=128"
"2","0.1811225","192.168.43.6","142.251.42.86","TCP","74","35884  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=796947576 TSecr=0 WS=128"
"3","0.172731","142.251.42.86","192.168.43.6","TCP","74","443  >  35884 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=3983547483 TSecr=796947576 WS=256"
"4","-0.769767","142.250.182.206","192.168.43.6","TCP","74","443  >  50580 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=1094295994 TSecr=2646001219 WS=256"
"5","-0.767865","192.168.43.6","142.251.42.86","TCP","66","35884  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=796947748 TSecr=3983547483"
"6","-0.766684","192.168.43.6","142.250.182.206","TCP","66","50580  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2646001392 TSecr=1094295994"
"7","-0.764171","192.168.43.6","142.250.182.206","TLSv1.3","583","Client Hello"
"8","-0.749134","192.168.43.6","142.251.42.86","TLSv1.3","583","Client Hello"
"9","-0.621247","192.168.43.6","223.196.14.15","TCP","74","32822  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2108934685 TSecr=0 WS=128"
"10","0.187880","192.168.43.6","223.196.14.15","TCP","74","32824  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2108934685 TSecr=0 WS=128"
"11","0.167710","223.196.14.15","192.168.43.6","TCP","74","443  >  32822 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=1703919739 TSecr=2108934685 WS=256"
"12","0.168793","192.168.43.6","223.196.14.15","TCP","66","32822  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2108934764 TSecr=1703919739"
"13","0.175111","192.168.43.6","223.196.14.15","TLSv1.3","826","Client Hello"
"14","0.189509","223.196.14.15","192.168.43.6","TCP","74","443  >  32824 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=1703919740 TSecr=2108934685 WS=256"
"15","0.190539","192.168.43.6","223.196.14.15","TCP","66","32824  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2108934765 TSecr=1703919740"
"16","0.269011","192.168.43.6","223.196.14.15","TLSv1.3","826","Client Hello"
"17","0.282008","142.250.182.206","192.168.43.6","TCP","66","443  >  50580 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=1094296158 TSecr=2646001392"
"18","0.278155","142.251.42.86","192.168.43.6","TCP","66","443  >  35884 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=3983547651 TSecr=796947749"
"19","0.356835","142.250.182.206","192.168.43.6","TLSv1.3","1414","Server Hello, Change Cipher Spec"
"20","0.1102082","192.168.43.6","142.250.182.206","TCP","66","50580  >  443 [ACK] Seq=518 Ack=1349 Win=63104 Len=0 TSval=2646001576 TSecr=1094296218"
"21","0.1103749","223.196.14.15","192.168.43.6","TCP","66","443  >  32822 [ACK] Seq=1 Ack=761 Win=67072 Len=0 TSval=1703919832 TSecr=2108934764"
"22","0.1104993","223.196.14.15","192.168.43.6","TLSv1.3","253","Server Hello, Change Cipher Spec, Application Data"
"23","0.361006","192.168.43.6","223.196.14.15","TCP","66","32822  >  443 [ACK] Seq=761 Ack=188 Win=64128 Len=0 TSval=2108934854 TSecr=1703919833"
"24","0.1113104","223.196.14.15","192.168.43.6","TCP","66","443  >  32824 [ACK] Seq=1 Ack=761 Win=67072 Len=0 TSval=1703919834 TSecr=2108934766"
"25","0.1114432","223.196.14.15","192.168.43.6","TLSv1.3","253","Server Hello, Change Cipher Spec, Application Data"
"26","0.1120519","192.168.43.6","223.196.14.15","TCP","66","32824  >  443 [ACK] Seq=761 Ack=188 Win=64128 Len=0 TSval=2108934854 TSecr=1703919834"
"27","0.1121909","192.168.43.6","142.250.182.206","TLSv1.3","72","Change Cipher Spec"
"28","0.1123941","192.168.43.6","223.196.14.15","TLSv1.3","72","Change Cipher Spec"
"29","0.1126043","192.168.43.6","223.196.14.15","TLSv1.3","140","Application Data"
"30","0.362852","192.168.43.6","223.196.14.15","TLSv1.3","72","Change Cipher Spec"
"31","0.363046","192.168.43.6","223.196.14.15","TLSv1.3","140","Application Data"
"32","0.367008","142.250.182.206","192.168.43.6","TCP","2762","443  >  50580 [ACK] Seq=1349 Ack=518 Win=66816 Len=2696 TSval=1094296218 TSecr=2646001392 [TCP segment of a reassembled PDU]"
"33","0.1230604","192.168.43.6","142.250.182.206","TCP","66","50580  >  443 [ACK] Seq=524 Ack=4045 Win=61056 Len=0 TSval=2646001586 TSecr=1094296218"
"34","0.1232195","142.250.182.206","192.168.43.6","TLSv1.3","2650","Application Data"
"35","0.1287732","192.168.43.6","223.196.14.15","TLSv1.3","433","Application Data"
"36","0.1296613","192.168.43.6","142.250.182.206","TCP","66","50580  >  443 [ACK] Seq=524 Ack=6629 Win=61056 Len=0 TSval=2646001590 TSecr=1094296218"
"37","0.379609","142.251.42.86","192.168.43.6","TLSv1.3","1414","Server Hello, Change Cipher Spec"
"38","0.1324420","192.168.43.6","142.251.42.86","TCP","66","35884  >  443 [ACK] Seq=518 Ack=1349 Win=63104 Len=0 TSval=796947946 TSecr=3983547712"
